event_id,user_id,event_time,event_name,session_id
1,1,2024-10-16 00:00:00,app_open,1
2,1,2024-10-16 00:05:00,onboarding_started,1
3,1,2024-10-16 02:00:00,kyc_submitted,1
4,1,2024-10-21 00:00:00,kyc_approved,1
5,1,2024-10-21 07:00:00,bank_added,6
6,1,2024-10-27 07:00:00,first_transaction_attempted,6
7,1,2024-10-27 07:17:00,first_transaction_success,6
8,2,2024-08-03 00:00:00,app_open,10
9,2,2024-08-03 00:05:00,onboarding_started,10
10,2,2024-08-03 02:00:00,kyc_submitted,10
11,3,2023-04-28 00:00:00,app_open,20
12,3,2023-04-28 00:05:00,onboarding_started,20
13,3,2023-04-28 02:00:00,kyc_submitted,20
14,3,2023-05-02 00:00:00,kyc_approved,20
15,3,2023-05-02 07:00:00,bank_added,21
16,3,2023-05-04 07:00:00,first_transaction_attempted,20
17,3,2023-05-04 08:14:00,first_transaction_success,22
18,4,2024-06-29 00:00:00,app_open,24
19,4,2024-06-29 00:05:00,onboarding_started,24
20,4,2024-06-29 02:00:00,kyc_submitted,24
21,4,2024-07-04 00:00:00,kyc_approved,24
22,4,2024-07-04 18:00:00,bank_added,25
23,5,2023-02-02 00:00:00,app_open,30
24,5,2023-02-02 00:05:00,onboarding_started,30
25,5,2023-02-02 02:00:00,kyc_submitted,30
26,5,2023-02-04 00:00:00,kyc_approved,30
27,5,2023-02-04 04:00:00,bank_added,33
28,5,2023-02-11 04:00:00,first_transaction_attempted,36
29,5,2023-02-11 04:22:00,first_transaction_success,32
30,6,2023-08-07 00:00:00,app_open,38
31,6,2023-08-07 00:05:00,onboarding_started,38
32,6,2023-08-07 02:00:00,kyc_submitted,38
33,6,2023-08-11 00:00:00,kyc_approved,38
34,6,2023-08-11 20:00:00,bank_added,38
35,6,2023-08-17 20:00:00,first_transaction_attempted,47
36,6,2023-08-17 21:29:00,first_transaction_success,47
37,7,2024-10-11 00:00:00,app_open,50
38,7,2024-10-11 00:05:00,onboarding_started,50
39,8,2024-07-18 00:00:00,app_open,53
40,8,2024-07-18 00:05:00,onboarding_started,53
41,9,2023-06-01 00:00:00,app_open,54
42,9,2023-06-01 00:05:00,onboarding_started,54
43,9,2023-06-01 02:00:00,kyc_submitted,54
44,10,2024-02-21 00:00:00,app_open,55
45,10,2024-02-21 00:05:00,onboarding_started,55
46,10,2024-02-21 02:00:00,kyc_submitted,55
47,10,2024-02-23 00:00:00,kyc_approved,55
48,10,2024-02-23 20:00:00,bank_added,61
49,10,2024-02-28 20:00:00,first_transaction_attempted,64
50,10,2024-02-28 21:00:00,first_transaction_success,63
51,11,2023-11-04 00:00:00,app_open,69
52,11,2023-11-04 00:05:00,onboarding_started,69
53,11,2023-11-04 02:00:00,kyc_submitted,69
54,11,2023-11-06 00:00:00,kyc_approved,69
55,11,2023-11-06 15:00:00,bank_added,72
56,11,2023-11-09 15:00:00,first_transaction_attempted,72
57,11,2023-11-09 16:10:00,first_transaction_success,74
58,12,2023-08-29 00:00:00,app_open,75
59,12,2023-08-29 00:05:00,onboarding_started,75
60,12,2023-08-29 02:00:00,kyc_submitted,75
61,12,2023-09-02 00:00:00,kyc_approved,75
62,12,2023-09-02 09:00:00,bank_added,89
63,12,2023-09-06 09:00:00,first_transaction_attempted,83
64,12,2023-09-06 09:35:00,first_transaction_success,85
65,13,2024-05-12 00:00:00,app_open,92
66,13,2024-05-12 00:05:00,onboarding_started,92
67,13,2024-05-12 02:00:00,kyc_submitted,92
68,13,2024-05-16 00:00:00,kyc_approved,92
69,13,2024-05-16 02:00:00,bank_added,97
70,13,2024-05-17 02:00:00,first_transaction_attempted,92
71,13,2024-05-17 03:44:00,first_transaction_success,92
72,14,2023-03-19 00:00:00,app_open,102
73,14,2023-03-19 00:05:00,onboarding_started,102
74,14,2023-03-19 02:00:00,kyc_submitted,102
75,14,2023-03-24 00:00:00,kyc_approved,102
76,14,2023-03-24 21:00:00,bank_added,103
77,14,2023-03-30 21:00:00,first_transaction_attempted,103
78,14,2023-03-30 22:50:00,first_transaction_success,102
79,15,2024-08-29 00:00:00,app_open,105
80,15,2024-08-29 00:05:00,onboarding_started,105
81,16,2024-06-27 00:00:00,app_open,120
82,16,2024-06-27 00:05:00,onboarding_started,120
83,16,2024-06-27 02:00:00,kyc_submitted,120
84,16,2024-06-30 00:00:00,kyc_approved,120
85,16,2024-06-30 16:00:00,bank_added,121
86,17,2024-04-25 00:00:00,app_open,132
87,17,2024-04-25 00:05:00,onboarding_started,132
88,18,2023-04-12 00:00:00,app_open,141
89,18,2023-04-12 00:05:00,onboarding_started,141
90,18,2023-04-12 02:00:00,kyc_submitted,141
91,18,2023-04-14 00:00:00,kyc_approved,141
92,18,2023-04-14 07:00:00,bank_added,144
93,18,2023-04-17 07:00:00,first_transaction_attempted,142
94,18,2023-04-17 08:27:00,first_transaction_success,143
95,19,2024-04-24 00:00:00,app_open,148
96,19,2024-04-24 00:05:00,onboarding_started,148
97,19,2024-04-24 02:00:00,kyc_submitted,148
98,19,2024-04-25 00:00:00,kyc_approved,148
99,19,2024-04-25 09:00:00,bank_added,149
100,20,2024-05-18 00:00:00,app_open,155
101,20,2024-05-18 00:05:00,onboarding_started,155
102,20,2024-05-18 02:00:00,kyc_submitted,155
103,20,2024-05-20 00:00:00,kyc_approved,155
104,20,2024-05-20 01:00:00,bank_added,165
105,20,2024-05-23 01:00:00,first_transaction_attempted,157
106,20,2024-05-23 02:35:00,first_transaction_success,159
107,21,2023-07-13 00:00:00,app_open,168
108,21,2023-07-13 00:05:00,onboarding_started,168
109,22,2024-05-22 00:00:00,app_open,170
110,22,2024-05-22 00:05:00,onboarding_started,170
111,22,2024-05-22 02:00:00,kyc_submitted,170
112,22,2024-05-26 00:00:00,kyc_approved,170
113,22,2024-05-26 03:00:00,bank_added,173
114,22,2024-05-30 03:00:00,first_transaction_attempted,171
115,22,2024-05-30 03:34:00,first_transaction_success,176
116,23,2024-09-26 00:00:00,app_open,179
117,23,2024-09-26 00:05:00,onboarding_started,179
118,23,2024-09-26 02:00:00,kyc_submitted,179
119,23,2024-09-30 00:00:00,kyc_approved,179
120,23,2024-10-01 00:00:00,bank_added,179
121,24,2023-10-21 00:00:00,app_open,191
122,24,2023-10-21 00:05:00,onboarding_started,191
123,24,2023-10-21 02:00:00,kyc_submitted,191
124,24,2023-10-24 00:00:00,kyc_approved,191
125,24,2023-10-24 09:00:00,bank_added,203
126,25,2023-04-21 00:00:00,app_open,209
127,25,2023-04-21 00:05:00,onboarding_started,209
128,26,2023-04-29 00:00:00,app_open,212
129,26,2023-04-29 00:05:00,onboarding_started,212
130,26,2023-04-29 02:00:00,kyc_submitted,212
131,26,2023-05-04 00:00:00,kyc_approved,212
132,26,2023-05-04 03:00:00,bank_added,225
133,26,2023-05-07 03:00:00,first_transaction_attempted,215
134,26,2023-05-07 04:20:00,first_transaction_success,225
135,27,2024-01-06 00:00:00,app_open,226
136,27,2024-01-06 00:05:00,onboarding_started,226
137,28,2024-05-17 00:00:00,app_open,229
138,28,2024-05-17 00:05:00,onboarding_started,229
139,28,2024-05-17 02:00:00,kyc_submitted,229
140,28,2024-05-19 00:00:00,kyc_approved,229
141,28,2024-05-19 05:00:00,bank_added,239
142,29,2024-01-17 00:00:00,app_open,241
143,29,2024-01-17 00:05:00,onboarding_started,241
144,29,2024-01-17 02:00:00,kyc_submitted,241
145,29,2024-01-18 00:00:00,kyc_approved,241
146,29,2024-01-18 18:00:00,bank_added,243
147,29,2024-01-22 18:00:00,first_transaction_attempted,242
148,29,2024-01-22 19:18:00,first_transaction_success,244
149,30,2023-04-04 00:00:00,app_open,247
150,30,2023-04-04 00:05:00,onboarding_started,247
151,30,2023-04-04 02:00:00,kyc_submitted,247
152,30,2023-04-07 00:00:00,kyc_approved,247
153,30,2023-04-07 13:00:00,bank_added,254
154,30,2023-04-12 13:00:00,first_transaction_attempted,259
155,30,2023-04-12 13:14:00,first_transaction_success,248
